repo,stars,category,content_types,layout_pattern,content_unit,manifest_style,pack_manifest_file,multi_file_aux,versioning,license_location,discovery_pattern,notable_quirks
anthropics/skills,133000,skills,skill,by-type,dir-with-SKILL.md,frontmatter-yaml + plugin.json,.claude-plugin/marketplace.json,scripts-dir + references/assets + per-item LICENSE.txt,per-marketplace version,top-level-LICENSE,explicit-list-in-manifest,Marketplace lists skill paths explicitly; per-skill LICENSE.txt alongside SKILL.md
obra/superpowers,188000,skills,"skill, hook, agent, command",hybrid,dir-with-SKILL.md,frontmatter-yaml + plugin.json + marketplace.json,.claude-plugin/{plugin marketplace}.json,scripts-dir + sibling .md companions,semver in plugin.json,top-level-LICENSE,dir-convention,Ships parallel sidecar dirs for Cursor/Codex/OpenCode/Gemini; one source packaged 4 ways
simonw/claude-skills,922,skills,skill (archival),flat,zip archives + README links,none,none,none,none,top-level-LICENSE,filename-convention,Repo is historical archive of Anthropic /mnt/skills snapshots; no live skill files
SawyerHood/dev-browser,6081,skills,skill (+ daemon CLI),by-type,dir-with-SKILL.md,frontmatter-yaml + marketplace.json,.claude-plugin/marketplace.json,none (companion source is in /cli /daemon),semver in marketplace,top-level-LICENSE,explicit-list-in-manifest,Skill is thin wrapper; heavy lifting in sibling npm CLI
alirezarezvani/claude-skills,14500,skills,"skill, agent, command, mcp, hook, rule",hybrid by-topic and by-platform,dir-with-SKILL.md (nested),frontmatter-yaml + per-plugin plugin.json + top marketplace.json + tessl.json,.claude-plugin/marketplace.json,scripts-dir + references-dir + nested .claude-plugin/plugin.json,per-plugin semver,top-level-LICENSE,mixed,Nested plugins: each subdir has own .claude-plugin/plugin.json
travisvn/awesome-claude-skills,12400,skills,n/a (curated list),flat,external links,none,none,none,none,top-level-LICENSE,README list,Pure README — no skills hosted
BehiSecc/awesome-claude-skills,9000,skills,n/a (curated list),flat,external links,none,none,none,none,top-level-LICENSE,README list,Same pattern as travisvn (likely fork)
ComposioHQ/awesome-claude-skills,59000,skills,skill,flat,dir-with-SKILL.md,frontmatter-yaml,none observed at top,scripts-dir + per-skill LICENSE.txt,none observed,top-level-LICENSE,dir-convention + README list,Despite name 'awesome' actually hosts skills at top level with no manifest
Jeffallan/claude-skills,9000,skills,"skill, command",by-type,dir-with-SKILL.md,frontmatter-yaml + marketplace.json + plugin.json + version.json,.claude-plugin/{plugin marketplace}.json,references/ subdir (multiple .md),semver in plugin.json,top-level-LICENSE,dir-convention,Rich custom metadata under `metadata:` key
coleam00/second-brain-skills,720,skills,skill,by-platform,dir-with-SKILL.md,frontmatter-yaml,none,references-dir + scripts-dir + LICENSE.txt,none,top-level-LICENSE,dir-convention,No marketplace.json — pure folder drop-in for .claude/skills/
jezweb/claude-skills,776,skills,"skill, plugin-bundle",by-topic + by-platform,dir-with-SKILL.md,frontmatter-yaml,per-plugin manifests inside plugins/,scripts dir; assets in .claude/skills/artifacts,none observed,top-level-LICENSE,dir-convention,Splits delivered plugins/ from live working .claude/skills/
iannuttall/dotagents,683,skills,tool (CLI not content),n/a,n/a,package.json,package.json,none,npm semver,top-level-LICENSE,n/a,Meta-tool that manages AGENT/CLAUDE/SKILL.md files via symlinks
mhattingpete/claude-skills-marketplace,571,skills,"skill, agent, command",hybrid,dir-with-SKILL.md,frontmatter-yaml + top-level marketplace.json,.claude-plugin/marketplace.json,none in sample,per-plugin semver,top-level-LICENSE,explicit-list-in-manifest,Multi-plugin marketplace under one repo
microsoft/skills,2291,skills,"skill, agent, command, mcp, hook",by-platform under .github/plugins/,dir-with-SKILL.md,frontmatter-yaml + marketplace.json,.claude-plugin/marketplace.json (pluginRoot: ./.github/plugins),per-plugin scripts,per-plugin semver,top-level-LICENSE,explicit-list-in-manifest + dir-convention,Marketplace points at .github/plugins/ — unusual host dir
blacktop/ipsw-skill,53,skills,skill,flat,dir-with-SKILL.md,frontmatter-yaml + package.json (pi.skills) + marketplace.json,.claude-plugin/marketplace.json + package.json pi field + gemini-extension.json,references-dir + per-skill LICENSE.txt,npm semver in package.json,top-level-LICENSE,mixed,'pi-package' keyword in package.json — emerging convention
geekjourneyx/md2wechat-skill,2175,skills,skill (wrapper over Go CLI),flat,dir-with-SKILL.md,frontmatter-yaml + marketplace.json,.claude-plugin/marketplace.json,sibling Go module is actual impl,semver via VERSION file + package.json,top-level-LICENSE,explicit-list-in-manifest,Skill is thin instructional wrapper around Go binary; also ships AGENTS.md + CLAUDE.md
dgreenheck/webgpu-claude-skill,895,skills,skill,flat,dir-with-SKILL.md,frontmatter-yaml + plugin.json + marketplace.json,.claude-plugin/{plugin marketplace}.json,none in sample,semver in plugin.json,top-level-LICENSE,dir-convention,Also ships .cursor/ parallel folder
FrancyJGLisboa/agent-skill-creator,902,skills,skill (+ multi-platform exports),hybrid,single SKILL.md at root,frontmatter-yaml + registry/registry.json,registry/registry.json,references-dir + scripts-dir + registry/skills/,per-skill metadata.version,top-level-LICENSE,mixed,Self-describes as '14+ tool' exporter — generates per-platform variants
SnailSploit/Claude-Red,1251,skills,skill,by-topic,dir-with-SKILL.md,frontmatter-yaml + claude-skills.json,claude-skills.json (custom),scripts + references,semver in claude-skills.json,top-level-LICENSE,explicit-list-in-manifest,Custom non-Anthropic registry format with categories
anthropics/claude-code,122830,claude-code,"command, agent, skill",by-pack hybrid,single-md-frontmatter + dir-with-SKILL.md,plugin.json + marketplace.json (with $schema),.claude-plugin/marketplace.json + per-plugin .claude-plugin/plugin.json,dir-convention,per-plugin-version,top-level-LICENSE,dir-convention,Canonical layout; uses JSON Schema URL in marketplace.json
wshobson/agents,35261,claude-code,"agent, skill, command",hybrid (plugins-of-plugins),single-md-frontmatter + dir-with-SKILL.md,plugin.json + marketplace.json,.claude-plugin/marketplace.json (80 plugins listed),dir-convention,per-plugin-version,top-level-LICENSE,dir-convention,Plugin of plugins; per-plugin author/license/category in marketplace.json
davila7/claude-code-templates,27204,claude-code,"agent, command, skill, hook, mcp",by-type then by-topic,single-md-frontmatter + dir-with-SKILL.md,none at content level; whole repo is npm CLI,package.json (CLI),dir-convention; CLI installs,git-tags + package.json,top-level-LICENSE,mixed,Content is npm-distributed; massive
SuperClaude-Org/SuperClaude_Framework,22754,claude-code,"command, agent, skill, hook, mcp, mode",hybrid (single plugin in plugins/superclaude/),single-md-frontmatter,plugin.json (paths as strings),.claude-plugin/plugin.json,explicit-paths-in-plugin.json,per-plugin (4.3.0),top-level-LICENSE,explicit-manifest-paths + dir,plugin.json declares directory roots explicitly (rare)
VoltAgent/awesome-claude-code-subagents,19629,claude-code,agent,by-topic (numbered cats),single-md-frontmatter,marketplace.json only,.claude-plugin/marketplace.json (10 plugins = 10 categories),dir-convention,per-marketplace (1.0.2),top-level-LICENSE,dir-convention,Categories presented as plugins; no per-plugin manifest
Donchitos/Claude-Code-Game-Studios,18475,claude-code,"agent, skill, rule, hook",by-type,single-md-frontmatter + dir-with-SKILL.md,none (no plugin manifest),none (just .claude/),dir-convention,none,top-level-LICENSE,dir-convention,18k stars with no pack identity; adds maxTurns
contains-studio/agents,12376,claude-code,agent,by-topic,single-md-frontmatter,none,none,dir-convention,none,top-level-LICENSE,dir-convention + filename,Embeds long XML examples inside YAML description
ChrisWiles/claude-code-showcase,5882,claude-code,"command, agent, skill, hook",by-type,single-md-frontmatter,none,none,dir-convention,none,top-level-LICENSE,dir-convention,Uses allowed-tools (not tools)
vijaythecoder/awesome-claude-agents,4248,claude-code,agent,by-topic,single-md-frontmatter,none,none,dir-convention,none,top-level-LICENSE,dir-convention,Heavy MCP tool names in tools: field
zebbern/claude-code-guide,4115,claude-code,"agent, skill",by-type,single-md-frontmatter + dir-with-SKILL.md,none,none,dir-convention,none,top-level-LICENSE,dir-convention,Mix of flat-md agents and SKILL.md skills
notlikeDev/CCPlugins,2692,claude-code,command,flat,single-md-no-frontmatter,none,none,install.sh/install.py copy files,none,top-level-LICENSE,filename-only,NO frontmatter at all — body is entire spec
wshobson/commands,2450,claude-code,command,by-type (tools/ + workflows/),single-md-frontmatter,none,none,dir-convention,git-tags,top-level-LICENSE,dir-convention,Minimal frontmatter (only model:)
iannuttall/claude-agents,2052,claude-code,agent,flat,single-md-frontmatter,none,none,dir-convention,none,top-level-LICENSE,dir-convention,Smallest viable: just name + description
rohitg00/awesome-claude-code-toolkit,1628,claude-code,"agent, command, skill, hook, rule, mcp, plugin",hybrid,single-md-frontmatter + dir-with-SKILL.md,plugin.json (minimal) + marketplace.json,.claude-plugin/marketplace.json + per-plugin .claude-plugin/plugin.json,dir-convention,per-plugin,top-level-LICENSE,dir-convention,Mirror-style: many sibling categories under one repo
ComposioHQ/awesome-claude-plugins,1652,claude-code,agent (+other),by-pack,single-md-frontmatter,plugin.json per top-level dir + marketplace.json,per-plugin .claude-plugin/plugin.json,dir-convention,per-plugin,top-level-LICENSE,dir-convention + marketplace.json,Plugin manifest sometimes mirrors agent frontmatter
feiskyer/claude-code-settings,1501,claude-code,"agent, command, skill, hook, mcp, rule",by-type,single-md-frontmatter,plugin.json + marketplace.json,.claude-plugin/plugin.json,dir-convention + .mcp.json at root,per-plugin (2.1.7),top-level-LICENSE,dir-convention,Adds .mcp.json and settings.json as siblings
lst97/claude-code-sub-agents,1563,claude-code,agent,by-topic,single-md-frontmatter,none,none,dir-convention,none,top-level-LICENSE,dir-convention,MCP tool names baked into agent frontmatter
0xfurai/claude-code-subagents,902,claude-code,agent,flat (138 files),single-md-frontmatter,none,none,dir-convention,none,top-level-LICENSE,filename-convention,Pure flat; no organization at all
PatrickJS/awesome-cursorrules,39482,cursor,"rule, prompt",hybrid (legacy + mdc),dir-with-readme + .mdc,mixed (README + frontmatter),none,relative-path-implicit,git-tags,top-level-LICENSE,dir-convention + filename,Dual era preserved (rules/ + rules-new/)
grapeot/devin.cursorrules,5962,cursor,"rule, hook, mcp-like",flat,single-.cursorrules + sibling tools/,none,none,scripts-dir-convention,git-tags,top-level-LICENSE,filename-convention,Rule body bootstraps scratchpad + references sibling python tools — proto-MCP
sanjeed5/awesome-cursor-rules-mdc,3499,cursor,rule,flat,.mdc-with-frontmatter,frontmatter-yaml + top-level rules.json,rules.json (library catalog),none,none,top-level-LICENSE,filename-convention + JSON catalog,rules.json acts as registry/sidecar index over flat directory
flyeric0212/cursor-rules,1827,cursor,rule,by-type,.mdc-with-frontmatter,frontmatter-yaml,none,none,none,top-level-LICENSE,dir-convention,Category dirs with no readme
kinopeee/cursorrules,1118,cursor,rule,by-platform (en/ja),dir-with-readme localized,none,none,relative-path-implicit,git-tags,top-level-LICENSE,dir-convention,Locale split as top-level axis
instructa/ai-prompts,1039,cursor,"rule, prompt",by-topic/framework,dir-with-readme + .mdc,frontmatter-yaml + package.json,package.json (project),scripts-dir-convention + relative-path,package.json,top-level-LICENSE,dir-convention + scripts,Vue-style site backend; prompts dir is canonical content
RayFernando1337/llm-cursor-rules,885,cursor,"rule, prompt, agent",flat,mixed top-level .md + one .mdc,none,none,sub-dir conventions,none,top-level-LICENSE,filename-convention,Single-file rules co-mingle with prompts
s-smits/agentic-cursorrules,650,cursor,rule,flat,.cursorrules.example + config.yaml + python,sidecar-yaml (config.yaml),config.yaml,scripts-dir-convention,pyproject,top-level-LICENSE,mixed,Generates per-agent .cursorrules slices from yaml domain config
jabrena/cursor-rules-java,378,cursor,"skill, agent, command, rule, mcp",hybrid,dir-with-readme + .md,frontmatter-yaml + marketplace.json,.claude-plugin/marketplace.json (60+ plugins),explicit-list-in-manifest,per-item-version,top-level-LICENSE,explicit-manifest-list,Closest to ACIF carrier model — marketplace.json + versioned frontmatter
matank001/cursor-security-rules,371,cursor,rule,flat,.mdc-with-frontmatter,frontmatter-yaml,none,none,none,top-level-LICENSE,filename-convention,All rules at repo root no .cursor/ wrapper
thehimel/cursor-rules-and-prompts,225,cursor,"rule, prompt, workflow",by-topic,.mdc with frontmatter in empty subdirs,frontmatter-yaml + sync script,none,scripts-dir-convention,none,top-level-LICENSE,dir-convention,Splits rules vs prompts vs workflows under .cursor/
LessUp/awesome-cursorrules-zh,179,cursor,rule,by-language/by-topic + vitepress site,mixed .mdc and .cursorrules,frontmatter-yaml,package.json (drives vitepress),scripts-dir-convention,package.json,top-level-LICENSE,dir-convention,Localized fork of PatrickJS with docs-site overlay
digitalchild/cursor-best-practices,130,cursor,rule,by-platform,.mdc-with-frontmatter inside topic dirs,frontmatter-yaml,none,none,none,top-level-LICENSE,dir-convention,Topic dirs uppercase — pure human taxonomy
Aaronontheweb/dotnet-cursor-rules,129,cursor,rule,by-topic + .cursor/rules/meta.mdc,.mdc-with-frontmatter + README per topic,frontmatter-yaml,none,relative-path-implicit,none,top-level-LICENSE,dir-convention + .cursor/rules bootstrap,meta.mdc in .cursor/rules is the loader/index
brookslybrand/react-router-cursor-rules,118,cursor,rule,flat .cursor/rules,.mdc-with-frontmatter,frontmatter-yaml,none,none,none,top-level-LICENSE,dir-convention (canonical .cursor/rules),Canonical minimal layout
BlueBirdBack/godot-cursorrules,112,cursor,rule,flat,single-.cursorrules,none,none,none,none,none-observed,filename-convention,Pure legacy single-file rule
Mindrally/skills,106,cursor,skill (cross-tool),by-skill,dir-with-readme,(skills extracted from cursor rules),none,relative-path-implicit,none,none-observed,dir-convention,Re-packaging of cursor rules as Claude Code skills — lossy migration
Melvynx/cursor.rules,79,cursor,rule,flat,.mdc with numeric prefixes,frontmatter-yaml,none,none,none,none-observed,filename-convention (NNN-name.mdc),Numeric ordering implies load order
blefnk/awesome-cursor-rules,80,cursor,rule,flat,.md (not .mdc) with frontmatter,frontmatter-yaml,none,none,none,top-level-LICENSE,filename-convention,Uses plain .md to target multiple tools
Qwertic/cursorrules,28,cursor,rule,hybrid,dir-with-readme — fork of PatrickJS pre-mdc,none,none,relative-path-implicit,none,none-observed,dir-convention,Snapshot of pre-.mdc PatrickJS structure
modelcontextprotocol/servers,85511,mcp,mcp,monorepo-workspaces,dir-in-monorepo,package.json + .mcp.json (root),package.json (npm workspaces src/*),relative-path-implicit,semver-package-json (per-workspace),top-level-LICENSE,dir-convention + npm workspaces,mcpName field in package.json bridges to registry id
modelcontextprotocol/registry,6798,mcp,mcp,flat (Go service),catalog-entry-only,external server.json schema,data/seed.json (array of server.json),n/a,per-item-version (server.json version),top-level-LICENSE,explicit-manifest-list,Canonical schema; reverse-DNS namespace; packages array supports npm/oci/mcpb/pypi
modelcontextprotocol/inspector,9737,mcp,mcp (tooling),flat,own-repo,.mcp.json + sample-config.json,none,n/a,semver-package-json,top-level-LICENSE,mixed,Sample config is Claude Desktop / Code shape not server.json
microsoft/playwright-mcp,32409,mcp,mcp,flat,own-repo,server.json (MCP registry shape) + package.json,server.json,n/a,semver-package-json + server.json version,top-level-LICENSE,filename-convention (server.json),Minimal server.json — leans on npm
github/github-mcp-server,29747,mcp,mcp,flat (Go),own-repo,server.json + gemini-extension.json,server.json,n/a,git-tags + goreleaser,top-level-LICENSE,filename-convention,Two parallel install manifests
googleapis/mcp-toolbox,15164,mcp,mcp,flat (Go),own-repo,server.json + gemini-extension.json,server.json,n/a,git-tags,top-level-LICENSE,filename-convention,Same dual-manifest pattern as github-mcp-server
GLips/Figma-Context-MCP,14722,mcp,mcp,flat,own-repo,server.json + package.json,server.json,n/a,release-please,top-level-LICENSE,filename-convention,release-please-config manages versions
awslabs/mcp,9026,mcp,mcp,monorepo-workspaces,dir-in-monorepo,per-server pyproject.toml,none (README index),relative-path-implicit,per-item-version (pyproject),top-level-LICENSE,dir-convention (src/<service>-mcp-server/),~60 servers; uv/uvx convention; no top-level catalog
microsoft/mcp,3143,mcp,mcp,monorepo (.NET slnx),dir-in-monorepo,per-server server.json + glama.json + smithery.yaml,none (slnx),relative-path-implicit,per-item-version,top-level-LICENSE,dir-convention (servers/<Name>.Mcp.Server/),Quad-manifest stack per server
executeautomation/mcp-playwright,5506,mcp,mcp,flat,own-repo,mcp-config.json + smithery.yaml,mcp-config.json,n/a,semver-package-json,top-level-LICENSE,filename-convention,No server.json; uses Claude Desktop snippet as install
firecrawl/firecrawl-mcp-server,6285,mcp,mcp,flat,own-repo,server.json + smithery.yaml,server.json,n/a,semver + VERSIONING.md,top-level-LICENSE,filename-convention,Smithery configSchema is JSON Schema for user config
sooperset/mcp-atlassian,5159,mcp,mcp,flat,own-repo,pyproject.toml + smithery.yaml,none,n/a,semver (pyproject),top-level-LICENSE,filename-convention,No server.json; smithery is primary install artifact
BrowserMCP/mcp,6491,mcp,mcp,flat,own-repo,package.json only,none,n/a,semver-package-json,top-level-LICENSE,filename-convention (package.json),Minimal — relies on README + npm
wonderwhy-er/DesktopCommanderMCP,6029,mcp,"mcp, plugin, skill",flat (heavily multi-manifest),own-repo,server.json + manifest.template.json (mcpb) + plugin.yaml + smithery.yaml + gemini-extension.json + config.json,mixed,explicit-list (mcpb manifest),semver,top-level-LICENSE,mixed,Six parallel install/discovery manifests — strongest signal of fragmentation
getsentry/XcodeBuildMCP,5500,mcp,"mcp, skill",flat,own-repo,server.json + .mcp.json + manifests/ + skills/,server.json,explicit-list (manifests dir),semver,top-level-LICENSE,mixed,Co-ships skills/ directory alongside server
CoplayDev/unity-mcp,9513,mcp,"mcp, skill",flat,own-repo,manifest.json (mcpb 0.3),manifest.json,explicit-list (tools[] array),semver,top-level-LICENSE,filename-convention,mcpb manifest_version 0.3; tools[] enumerated for indexing
docker/mcp-registry,483,mcp,mcp,by-topic (per-server dirs),catalog-entry-only,server.yaml per server,per-server server.yaml,n/a,per-item (commit pin),top-level-LICENSE,dir-convention (servers/<name>/server.yaml),Docker-specific superset; pins upstream commits
archestra-ai/archestra,3654,mcp,"mcp, gateway",monorepo,dir-in-monorepo,platform-specific catalog,none observed at root,n/a,semver,top-level-LICENSE,mixed,Enterprise platform; MCP registry is one slice
punkpeye/awesome-mcp-servers,86766,mcp,mcp (catalog),flat,catalog-entry-only,none,README.md (737KB hand-curated),n/a,none,top-level-LICENSE,readme-only,Largest aggregator — pure markdown no machine-readable index
appcypher/awesome-mcp-servers,5532,mcp,mcp (catalog),flat,catalog-entry-only,none,README.md (~63KB),n/a,none,top-level-LICENSE,readme-only,Same readme-only pattern
cline/mcp-marketplace,1000,mcp,mcp (catalog),flat,catalog-entry-only,none in repo (issues-driven),README.md,n/a,none,top-level-LICENSE,readme-only,Curation via GitHub Issues; install LLM-driven from upstream READMEs
x1xhlol/system-prompts-and-models-of-ai-tools,137236,other-tools,prompt,by-platform,dir-per-tool,none,none,none,git-tags,top-level-LICENSE,dir-convention,Archive of leaked vendor system prompts
openai/codex,82089,other-tools,rule,single-AGENTS.md,single-AGENTS.md,none,AGENTS.md,none,git-tags,top-level-LICENSE,filename-convention,Repo-root AGENTS.md governs the agent itself; also .codex/ runtime config
cline/cline,61679,other-tools,"rule, command, hook",by-type,dir-of-mds,frontmatter-yaml (rules),none,relative-path-implicit,git-tags,top-level-LICENSE,dir-convention,Co-hosts 8 parallel dotfile dirs — multi-tool side-by-side
block/goose,45076,other-tools,"rule, recipe",hybrid,dir-of-mds + recipe-yaml,yaml frontmatter (rare),recipe.yaml,explicit-list-in-frontmatter (recipes),git-tags,top-level-LICENSE,mixed,Extreme multi-tool sprawl: 7+ parallel dotfile dirs
Aider-AI/aider,44710,other-tools,rule,single-dotfile,yaml-config + CONVENTIONS.md,yaml-config,.aider.conf.yml,explicit-list-in-frontmatter (read: list),git-tags,top-level-LICENSE,filename-convention,Pure YAML config; read: references files to inject
continuedev/continue,33139,other-tools,"rule, agent, prompt, hook",by-type,dir-of-mds,frontmatter-yaml,none,relative-path-implicit,per-item-version (package registry),top-level-LICENSE,dir-convention,Hub-published items get versions
github/awesome-copilot,32737,other-tools,"skill, agent, instruction, prompt, hook, plugin",by-type,dir-of-mds + dir-per-skill,frontmatter-yaml + json-schema,cookbook.yml + collection.schema.json,relative-path-implicit (skills),per-item-version (cookbook),top-level-LICENSE + per-skill license field,mixed,First-class JSON schemas for collection/cookbook/tools
eyaltoledano/claude-task-master,27109,other-tools,"rule, command",by-platform,dir-of-mds per tool,mixed,.mcp.json .roomodes,none,per-item-version (npm),top-level-LICENSE,mixed,Emits installers for 6 tools simultaneously
RooCodeInc/Roo-Code,24017,other-tools,"rule, mode (agent), skill, mcp",by-type,dir-of-mds + .roomodes yaml,yaml-config (.roomodes) + dir-of-mds,.roomodes,none,git-tags,top-level-LICENSE,mixed,Custom modes as YAML; skills require SKILL.md
agentsmd/agents.md,21247,other-tools,rule,single-AGENTS.md,single-AGENTS.md,none,AGENTS.md,none,none,top-level-LICENSE,filename-convention,Reference site for AGENTS.md standard
jackwener/OpenCLI,20274,other-tools,rule,single-AGENT.md,single-AGENT.md,none,AGENT.md,none,git-tags,top-level-LICENSE,filename-convention,Pushes AGENT.md (singular) as universal format
wasp-lang/open-saas,14411,other-tools,"rule, skill",by-platform,dir-of-mds + AGENTS.md,frontmatter-yaml (skills),AGENTS.md,relative-path-implicit,git-tags,top-level-LICENSE,mixed,Boilerplate ships AGENTS.md + Claude skills + Copilot plugin
ciembor/agent-rules-books,1326,other-tools,rule,by-topic,dir-of-mds (.md .mini.md .nano.md),none,none,none,git-tags,top-level-LICENSE,filename-convention,Same rule at 3 size tiers for token budgets
Shpigford/chops,1315,other-tools,skill,by-platform,macOS app over external dirs,n/a (app),n/a,n/a,per-item-version,top-level-LICENSE,dir-convention,GUI that normalizes skills across 5 tools
twostraws/SwiftAgents,1288,other-tools,rule,single-AGENTS.md,single-AGENTS.md,none,AGENTS.md,none,git-tags,top-level-LICENSE,filename-convention,Single AGENTS.md tuned for Swift/SwiftUI
cline/prompts,1156,other-tools,"rule, workflow",by-type,dir-of-mds,frontmatter-yaml,none,relative-path-implicit,git-tags,top-level-LICENSE,dir-convention,Community library: .clinerules/ + workflows/
microsoft/genaiscript,2900,other-tools,script (executable prompt),by-type,genaisrc/*.genai.mts,script body declares manifest via script({...}) call,none,runtime imports,per-item-version (npm),top-level-LICENSE,filename-convention (*.genai.mts),Skills are TypeScript modules with manifest in function call
danielmiessler/Fabric,41663,broader,pattern,flat,dir-with-readme,none (convention),none,relative-path-implicit (system.md optional user.md),git-tags,top-level-LICENSE,dir-convention (data/patterns/<name>/system.md),255 patterns; every dir MUST contain system.md
f/prompts.chat (awesome-chatgpt-prompts),162102,broader,prompt,flat,csv-row + i18n-json,csv-index + sidecar-json,.commandcode/prompts.csv + messages/*.json,none,git-tags,top-level-LICENSE,csv-index,162k stars — literally one CSV + 30+ locale JSONs
0xeb/TheBigPromptLibrary,5043,broader,"prompt, system-prompt, custom-gpt",by-type then by-vendor,single-md,readme-as-index,per-dir README.md,none,none,top-level-LICENSE,readme-as-index,SystemPrompts/<Vendor>/<dated-version>.md
linexjlin/GPTs,31979,broader,leaked-system-prompt,flat,single-md,none,none,none,none,none-observed,filename-convention,600+ files named after GPT title
jujumilk3/leaked-system-prompts,14566,broader,leaked-system-prompt,flat,single-md,none,none,none,per-item-version (in filename),none-observed,filename-convention,Filename = <vendor>-<model>_<YYYYMMDD>.md
elder-plinius/CL4R1T4S,26069,broader,leaked-system-prompt,by-vendor,single-txt/md,none,none,none,per-item-version (in filename),top-level-LICENSE,dir-convention + filename-convention,All-caps vendor dirs; .txt raw dumps
crewAIInc/crewAI-examples,5942,broader,"agent, crew, flow",by-type then by-topic,dir-with-readme,pyproject.toml + readme-as-index,per-example pyproject.toml,__init__.py-imports + agents.py/tasks.py,pyproject.toml,top-level-LICENSE,code-import,Each example is a tiny Python package; agent defs in code
microsoft/autogen,57964,broader,framework + agents (in code),by-platform (python/dotnet),single-py,pyproject.toml,per-package pyproject.toml,__init__.py-imports,pyproject.toml,top-level-LICENSE,code-import,Agents as Python classes; no separable content
langchain-ai/langgraph,31858,broader,"examples (notebooks), templates",by-topic,single-py or notebook,pyproject.toml + readme-as-index,per-lib pyproject.toml,__init__.py-imports,pyproject.toml,top-level-LICENSE,code-import + readme-as-index,Examples are .ipynb files
langgenius/dify,141090,broader,"workflow, agent, prompt-tool",by-type (in app),yaml-spec (DSL),mixed,none in repo (DSL exported per workflow),explicit-list-in-frontmatter (DSL refs nodes),per-item-version,top-level-LICENSE,code-import (DB-backed),Content is YAML DSL but lives in user databases
microsoft/promptflow,11122,broader,"flow, prompty, eval",by-type,dir-with-yaml-spec,yaml-spec (flow.dag.yaml) + frontmatter-yaml (.prompty),flow.dag.yaml per flow,explicit-list-in-frontmatter (DAG refs .jinja2/.py),git-tags,top-level-LICENSE,dir-convention + filename-convention (*.prompty),.prompty closest analog to ACIF skill
dair-ai/Prompt-Engineering-Guide,74475,broader,"guide, prompt-example",by-topic,single-mdx,sidecar-json (_meta.json),_meta.<locale>.json per dir,none,git-tags,top-level-LICENSE,dir-convention + sidecar-index,Nextra docs; _meta.json defines nav order in 14 locales
PlexPt/awesome-chatgpt-prompts-zh,60001,broader,prompt,flat,json-array-entry,sidecar-json,prompts-zh.json,none,none,top-level-LICENSE,readme-as-index,One big JSON array — [{act prompt}]
n8n-io/n8n,187560,broader,workflow (in app),by-package,other (workflow DSL in DB),package.json,per-package package.json,none in repo,package.json,top-level-LICENSE,code-import,Repo is engine; templates ship via api.n8n.io
EmbraceAGI/awesome-chatgpt-zh,11534,broader,curated-link,flat,readme-as-index,readme-as-index,README.md only,none,none,top-level-LICENSE,readme-as-index,Pure awesome list — README bullets only
promptslab/Awesome-Prompt-Engineering,5905,broader,"curated-link, paper-ref",flat,readme-as-index,readme-as-index,README.md,none,none,top-level-LICENSE,readme-as-index,Classic awesome-list pattern; _source dir holds bib citations
